PM2.5,PM10,Date&Time
   9mg/m3,  11mg/m3,2020-02-04 12:28:06
   8mg/m3,  13mg/m3,2020-02-04 12:28:11
   9mg/m3,  13mg/m3,2020-02-04 12:28:16
  10mg/m3,  14mg/m3,2020-02-04 12:28:21
  10mg/m3,  13mg/m3,2020-02-04 12:28:26
  11mg/m3,  15mg/m3,2020-02-04 12:28:31
  11mg/m3,  15mg/m3,2020-02-04 12:28:36
  12mg/m3,  15mg/m3,2020-02-04 12:28:41
  11mg/m3,  14mg/m3,2020-02-04 12:28:46
  11mg/m3,  13mg/m3,2020-02-04 12:28:51
  11mg/m3,  13mg/m3,2020-02-04 12:28:56
  10mg/m3,  13mg/m3,2020-02-04 12:29:01
   9mg/m3,  11mg/m3,2020-02-04 12:29:06
  10mg/m3,  12mg/m3,2020-02-04 12:29:11
  10mg/m3,  13mg/m3,2020-02-04 12:29:16
  10mg/m3,  12mg/m3,2020-02-04 12:29:21
  12mg/m3,  14mg/m3,2020-02-04 12:29:26
  11mg/m3,  13mg/m3,2020-02-04 12:29:31
  13mg/m3,  14mg/m3,2020-02-04 12:29:36
  14mg/m3,  15mg/m3,2020-02-04 12:29:41
  15mg/m3,  16mg/m3,2020-02-04 12:29:46
  15mg/m3,  16mg/m3,2020-02-04 12:29:51
  15mg/m3,  16mg/m3,2020-02-04 12:29:56
  14mg/m3,  15mg/m3,2020-02-04 12:30:01
  13mg/m3,  14mg/m3,2020-02-04 12:30:06
  13mg/m3,  14mg/m3,2020-02-04 12:30:11
  14mg/m3,  15mg/m3,2020-02-04 12:30:16
  11mg/m3,  12mg/m3,2020-02-04 12:30:21
  12mg/m3,  13mg/m3,2020-02-04 12:30:26
  12mg/m3,  13mg/m3,2020-02-04 12:30:31
  12mg/m3,  13mg/m3,2020-02-04 12:30:36
  11mg/m3,  12mg/m3,2020-02-04 12:30:41
  11mg/m3,  12mg/m3,2020-02-04 12:30:46
  11mg/m3,  12mg/m3,2020-02-04 12:30:51
  11mg/m3,  12mg/m3,2020-02-04 12:30:56
  10mg/m3,  12mg/m3,2020-02-04 12:31:01
  11mg/m3,  12mg/m3,2020-02-04 12:31:06
  10mg/m3,  11mg/m3,2020-02-04 12:31:11
  10mg/m3,  12mg/m3,2020-02-04 12:31:16
  10mg/m3,  11mg/m3,2020-02-04 12:31:21
  11mg/m3,  15mg/m3,2020-02-04 12:31:26
   9mg/m3,  14mg/m3,2020-02-04 12:31:31
   9mg/m3,  14mg/m3,2020-02-04 12:31:36
  10mg/m3,  14mg/m3,2020-02-04 12:31:41
  10mg/m3,  14mg/m3,2020-02-04 12:31:46
